semana,spot_lo,spot_hi,xeneta,cts,ccfi,coppel_nac
01/03/2019,1577.731092,1577.731092,884.43,,591.02,1537.832168
08/03/2019,1577.731092,1577.731092,956,,564.67,1537.832168
15/03/2019,1577.731092,1577.731092,1233,,532.5,1537.832168
22/03/2019,1577.731092,1577.731092,1377.86,,518.92,1537.832168
29/03/2019,1577.731092,1577.731092,1562.32,,524.19,1537.832168
05/04/2019,1151.904762,1151.904762,1429.14,,534.29,1457.563636
12/04/2019,1151.904762,1151.904762,1879.71,,566.37,1457.563636
19/04/2019,1151.904762,1151.904762,1779.86,,558.75,1457.563636
26/04/2019,1151.904762,1151.904762,1532.86,,574.54,1457.563636
03/05/2019,1190.252708,1190.252708,1314.71,,574.54,1456.987261
10/05/2019,1190.252708,1190.252708,1222.57,,574.54,1456.987261
17/05/2019,1190.252708,1190.252708,1312.14,,574.54,1456.987261
24/05/2019,1190.252708,1190.252708,1101.57,,499.7,1456.987261
31/05/2019,1190.252708,1190.252708,1474.29,,494.39,1456.987261
07/06/2019,1440.437158,1440.437158,1330,,485.43,1426.756477
14/06/2019,1440.437158,1440.437158,1369.57,,539.43,1426.756477
21/06/2019,1440.437158,1440.437158,1286.86,,556.32,1426.756477
28/06/2019,1440.437158,1440.437158,1338.86,,573.15,1426.756477
05/07/2019,1611.567164,1611.567164,1527.43,,573.15,1427.795053
12/07/2019,1611.567164,1611.567164,1536.14,,615.16,1427.795053
19/07/2019,1611.567164,1611.567164,1615.43,,623.53,1427.795053
26/07/2019,1611.567164,1611.567164,1750.14,,628.45,1427.795053
02/08/2019,1822.822823,1822.822823,1903,,631.81,1469.205021
09/08/2019,1822.822823,1822.822823,2022.14,,642.57,1469.205021
16/08/2019,1822.822823,1822.822823,1854.29,,643.47,1469.205021
23/08/2019,1822.822823,1822.822823,1720,,662.81,1469.205021
30/08/2019,1822.822823,1822.822823,1456.14,,644.14,1469.205021
06/09/2019,1895.888014,1895.888014,1634.43,,638.9,1480.846154
13/09/2019,1895.888014,1895.888014,1634,,626.78,1480.846154
20/09/2019,1895.888014,1895.888014,1426,,639.63,1480.846154
27/09/2019,1895.888014,1895.888014,1305.89,,633.57,1480.846154
04/10/2019,1818.608169,1818.608169,1307.29,,633.57,1465.132593
11/10/2019,1818.608169,1818.608169,1755.86,,593.18,1465.132593
18/10/2019,1818.608169,1818.608169,1824.29,,588.06,1465.132593
25/10/2019,1818.608169,1818.608169,2068.86,,614.14,1465.132593
01/11/2019,1758.401084,1758.401084,2156.14,,629.33,1421.505405
08/11/2019,1758.401084,1758.401084,2819.71,,629.33,1421.505405
15/11/2019,1758.401084,1758.401084,2468.29,,690.96,1421.505405
22/11/2019,1758.401084,1758.401084,2082.71,,702.37,1421.505405
29/11/2019,1758.401084,1758.401084,2233,,688.51,1421.505405
06/12/2019,1875.845865,1875.845865,1810.57,,662.22,1465.074545
13/12/2019,1875.845865,1875.845865,1937.71,,639.56,1465.074545
20/12/2019,1875.845865,1875.845865,2190.57,,630.65,1465.074545
27/12/2019,1875.845865,1875.845865,2298.67,,655.93,1465.074545
03/01/2020,2290.279823,2290.279823,2448.71,56,674.46,1446.750789
10/01/2020,2290.279823,2290.279823,2186.86,56,693.09,1446.750789
17/01/2020,2290.279823,2290.279823,2017,56,730.82,1446.750789
24/01/2020,2290.279823,2290.279823,1988.43,56,713.57,1446.750789
31/01/2020,2290.279823,2290.279823,1966.43,56,713.57,1446.750789
07/02/2020,2220.041322,2220.041322,1874.29,54,713.57,1636.190065
14/02/2020,2220.041322,2220.041322,1740.14,54,691.72,1636.190065
21/02/2020,2220.041322,2220.041322,1626.43,54,697.75,1636.190065
28/02/2020,2220.041322,2220.041322,1669,54,687.09,1636.190065
06/03/2020,2074.770642,2074.770642,1533.86,62,666.62,1750.037383
13/03/2020,2074.770642,2074.770642,1504.57,62,649.28,1750.037383
20/03/2020,2074.770642,2074.770642,1462,62,627.65,1750.037383
27/03/2020,2074.770642,2074.770642,1476.29,62,603.52,1750.037383
03/04/2020,1667.564103,1667.564103,1373,49,577.64,1720.907104
10/04/2020,1667.564103,1667.564103,1354.86,49,562.11,1720.907104
17/04/2020,1667.564103,1667.564103,1139,49,557.68,1720.907104
24/04/2020,1667.564103,1667.564103,1043.43,49,523.64,1720.907104
01/05/2020,1635.420394,1635.420394,1178.57,55,515.34,1584.703097
08/05/2020,1635.420394,1635.420394,1286.71,55,497.07,1584.703097
15/05/2020,1635.420394,1635.420394,1485,55,485.85,1584.703097
22/05/2020,1635.420394,1635.420394,1437.14,55,503.59,1584.703097
29/05/2020,1635.420394,1635.420394,1444.14,55,513.5,1584.703097
05/06/2020,1534.951456,1534.951456,1375,45,520.64,1374.244068
12/06/2020,1534.951456,1534.951456,1417.57,45,519.45,1374.244068
19/06/2020,1534.951456,1534.951456,1244.29,45,524.06,1374.244068
26/06/2020,1534.951456,1534.951456,1167.86,45,511.38,1374.244068
03/07/2020,1394.584838,1394.584838,1214.14,48,483.71,1254.256506
10/07/2020,1394.584838,1394.584838,1163.43,48,460.5,1254.256506
17/07/2020,1394.584838,1394.584838,1142.43,48,446.67,1254.256506
24/07/2020,1394.584838,1394.584838,1224.71,48,439,1254.256506
31/07/2020,1394.584838,1394.584838,1278,48,428.14,1254.256506
07/08/2020,1289.732888,1289.732888,1381,50,421.45,1263.446154
14/08/2020,1289.732888,1289.732888,1513,50,447.9,1263.446154
21/08/2020,1289.732888,1289.732888,1895.86,50,465.68,1263.446154
28/08/2020,1289.732888,1289.732888,2741.29,50,497.15,1263.446154
04/09/2020,1497.67316,1497.67316,3862.14,63,526.83,1273.458757
11/09/2020,1497.67316,1497.67316,4762,63,611.31,1273.458757
18/09/2020,1497.67316,1497.67316,4549.43,63,724.31,1273.458757
25/09/2020,1497.67316,1497.67316,4349.86,63,837.1,1273.458757
02/10/2020,3675.964912,3675.964912,4242.71,82,893.99,1280.540419
09/10/2020,3675.964912,3675.964912,4069.57,82,998.52,1280.540419
16/10/2020,3675.964912,3675.964912,4009.43,82,1027.98,1280.540419
23/10/2020,3675.964912,3675.964912,4131,82,1017.05,1280.540419
30/10/2020,3675.964912,3675.964912,4255.14,82,1050.93,1280.540419
06/11/2020,3895.821114,3895.821114,4346.86,92,1085.74,1395.282209
13/11/2020,3895.821114,3895.821114,4518.43,92,1082.35,1395.282209
20/11/2020,3895.821114,3895.821114,4754,92,1150.38,1395.282209
27/11/2020,3895.821114,3895.821114,5152.86,92,1149.25,1395.282209
04/12/2020,4665.96615,4665.96615,5475.14,121,1256.79,1401.932007
11/12/2020,4665.96615,4665.96615,5993.43,121,1279.53,1401.932007
18/12/2020,4665.96615,4665.96615,6417.86,121,1333.99,1401.932007
25/12/2020,4665.96615,4665.96615,6498.8,121,1482.18,1401.932007
01/01/2021,6360.130081,6360.130081,7039,163,1559.71,1399.553648
08/01/2021,6360.130081,6360.130081,7043.29,163,1659.94,1399.553648
15/01/2021,6360.130081,6360.130081,7279.29,163,1776.57,1399.553648
22/01/2021,6360.130081,6360.130081,7583.29,163,1945.5,1399.553648
29/01/2021,6360.130081,6360.130081,7749.86,163,1940.7,1399.553648
05/02/2021,7765.18949,7765.18949,7770,164,1963.7,1439.513661
12/02/2021,7765.18949,7765.18949,7702.86,164,2012.29,1439.513661
19/02/2021,7765.18949,7765.18949,7616.57,164,2023.6,1439.513661
26/02/2021,7765.18949,7765.18949,7563.14,164,1856.3,1439.513661
05/03/2021,7941.060606,7941.060606,7895.43,151,1828.89,1353.321429
12/03/2021,7941.060606,7941.060606,7675.71,151,1784.38,1353.321429
19/03/2021,7941.060606,7941.060606,7248.29,151,1784.17,1353.321429
26/03/2021,7941.060606,7941.060606,7021.86,151,1708.57,1353.321429
02/04/2021,7422.526718,7422.526718,7197.71,163,1685,1452.333333
09/04/2021,7422.526718,7422.526718,7571,163,1660.89,1452.333333
16/04/2021,7422.526718,7422.526718,7830.14,163,1649.25,1452.333333
23/04/2021,7422.526718,7422.526718,8145.86,163,1739.45,1452.333333
30/04/2021,7422.526718,7422.526718,8190.29,163,1791.37,1452.333333
07/05/2021,7123.583201,7123.583201,8226.71,160,1811.22,3337.117506
14/05/2021,7123.583201,7123.583201,8217.43,160,1862.63,3337.117506
21/05/2021,7123.583201,7123.583201,8941.71,160,1823.87,3337.117506
28/05/2021,7123.583201,7123.583201,9759.86,160,1808.3,3337.117506
04/06/2021,9278.602184,9278.602184,10286,163,1921.1,3539.557178
11/06/2021,9278.602184,9278.602184,10250.43,163,1984.9,3539.557178
18/06/2021,9278.602184,9278.602184,10303.43,163,2121.02,3539.557178
25/06/2021,9278.602184,9278.602184,10334.71,163,2144.2,3539.557178
02/07/2021,10507.82301,10507.82301,10285.14,176,2288.94,3571.883415
09/07/2021,10507.82301,10507.82301,10246.86,176,2210.69,3571.883415
16/07/2021,10507.82301,10507.82301,10268.71,176,2324.31,3571.883415
23/07/2021,10507.82301,10507.82301,10309.86,176,2375.84,3571.883415
30/07/2021,10507.82301,10507.82301,10406.86,176,2376.06,3571.883415
06/08/2021,11056.39539,11056.39539,10442.29,184,2418.02,3712.906494
13/08/2021,11056.39539,11056.39539,10499.43,184,2412.13,3712.906494
20/08/2021,11056.39539,11056.39539,10559.71,184,2456.97,3712.906494
27/08/2021,11056.39539,11056.39539,10843.29,184,2467.04,3712.906494
03/09/2021,12254.2543,12254.2543,11323.29,224,2491.9,3706.110906
10/09/2021,12254.2543,12254.2543,11845.29,224,2530.21,3706.110906
17/09/2021,12254.2543,12254.2543,12225.43,224,2567.4,3706.110906
24/09/2021,12254.2543,12254.2543,12751,224,2771.84,3706.110906
01/10/2021,13174.43503,13174.43503,12816.62,255,2737.06,3669.385841
08/10/2021,13174.43503,13174.43503,12688.71,255,2808.91,3669.385841
15/10/2021,13174.43503,13174.43503,12678.71,255,2835.45,3669.385841
22/10/2021,13174.43503,13174.43503,12780.71,255,2921.06,3669.385841
29/10/2021,13174.43503,13174.43503,12806.71,255,3000.72,3669.385841
05/11/2021,14789.17518,14789.17518,12855.57,254,3029.47,3703.088315
12/11/2021,14789.17518,14789.17518,12867.71,254,2966.74,3703.088315
19/11/2021,14789.17518,14789.17518,13083.57,254,3038.47,3703.088315
26/11/2021,14789.17518,14789.17518,13119,254,3017.31,3703.088315
03/12/2021,14500,14500,12858.43,239,2919.39,3700
10/12/2021,14500,14500,12697,239,2855.98,3700
17/12/2021,14500,14500,12750.43,239,2884.35,3700
24/12/2021,14500,14500,12624.86,239,2936.81,3700
31/12/2021,14500,14500,12552,239,2988.16,3700
07/01/2022,14000,14000,12465,,2940.66,3750
14/01/2022,14000,14000,12390.85714,,2921.3,3750
21/01/2022,14000,14000,12281.42857,,2942.83,3750
28/01/2022,14000,14000,12281.42857,,2834.44,3750
04/02/2022,12933.33333,12933.33333,,,,3750
11/02/2022,12933.33333,12933.33333,,,,3750
18/02/2022,12933.33333,12933.33333,,,,3750
25/02/2022,12933.33333,12933.33333,,,,3750
04/03/2022,11866.66667,11866.66667,,,,3750
11/03/2022,11866.66667,11866.66667,,,,3750
18/03/2022,11866.66667,11866.66667,,,,3750
25/03/2022,11866.66667,11866.66667,,,,3750
01/04/2022,10800,10800,,,,3750
08/04/2022,10800,10800,,,,3750
15/04/2022,10800,10800,,,,3750
22/04/2022,10800,10800,,,,6850
29/04/2022,10800,10800,,,,6850
06/05/2022,9700,11000,,,,6850
13/05/2022,9700,11000,,,,6850
20/05/2022,9700,11000,,,,6850
27/05/2022,9700,11000,,,,6850
03/06/2022,8700,11200,,,,6850
10/06/2022,8700,11200,,,,6850
17/06/2022,8700,11200,,,,6850
24/06/2022,8700,11200,,,,6850
01/07/2022,7700,12000,,,,6850
08/07/2022,7700,12000,,,,6850
15/07/2022,7700,12000,,,,6850
22/07/2022,7700,12000,,,,
29/07/2022,7700,12000,,,,
05/08/2022,8000,13000,,,,
12/08/2022,8000,13000,,,,
19/08/2022,8000,13000,,,,
26/08/2022,8000,13000,,,,
02/09/2022,8500,13000,,,,
09/09/2022,8500,13000,,,,
16/09/2022,8500,13000,,,,
23/09/2022,8500,13000,,,,
30/09/2022,8500,13000,,,,
07/10/2022,8500,13500,,,,
14/10/2022,8500,13500,,,,
21/10/2022,8500,13500,,,,
28/10/2022,8500,13500,,,,
04/11/2022,8500,14000,,,,
11/11/2022,8500,14000,,,,
18/11/2022,8500,14000,,,,
25/11/2022,8500,14000,,,,
02/12/2022,7000,14000,,,,
09/12/2022,7000,14000,,,,
16/12/2022,7000,14000,,,,
23/12/2022,7000,14000,,,,
30/12/2022,7000,14000,,,,
06/01/2023,7700,13000,,,,
13/01/2023,7700,13000,,,,
20/01/2023,7700,13000,,,,
27/01/2023,7700,13000,,,,
03/02/2023,5700,11000,,,,
10/02/2023,5700,11000,,,,
17/02/2023,5700,11000,,,,
24/02/2023,5700,11000,,,,
03/03/2023,5000,10000,,,,
10/03/2023,5000,10000,,,,
17/03/2023,5000,10000,,,,
24/03/2023,5000,10000,,,,
31/03/2023,5000,10000,,,,
07/04/2023,,,,,,
14/04/2023,,,,,,
21/04/2023,,,,,,
28/04/2023,,,,,,
05/05/2023,,,,,,
12/05/2023,,,,,,
19/05/2023,,,,,,
26/05/2023,,,,,,
